status,e5,e10,diesel
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
open,1,2,3
