Hour,Longitude,Latitude,Elevation,Cumulative Time (hours)
1,-122.406415,37.754298,21.0,1.001903611111111
2,-122.478784,37.846877,30.5,2.0001175
3,-122.470083,37.941293,8.25,3.005631944444444
4,-122.333842,37.989143,44.25,4.001371111111111
5,-122.227172,38.067985,52.0,5.015163888888889
6,-122.202022,38.169617,142.75,6.005233333333333
7,-122.014901,38.259467,9.75,7.0015
8,-121.864152,38.358769,12.5,8.001171944444446
9,-121.780197,38.495911,16.75,9.00584361111111
10,-121.582353,38.573724,5.0,10.093172777777777
11,-121.39659,38.55975,15.0,11.000130555555556
12,-121.197481,38.639123,52.75,12.000274722222223
13,-121.091401,38.64909,217.0,13.000079722222221
14,-120.967276,38.540498,207.25,14.00055861111111
15,-120.8623,38.480324,306.25,15.002953611111112
16,-120.753341,38.503073,531.75,16.01541333333333
17,-120.663292,38.502022,827.75,17.01119111111111
18,-120.559368,38.498901,1095.75,18.00858722222222
19,-120.47233,38.515572,1371.0,19.059146666666667
20,-120.393818,38.539302,1637.25,20.005512500000002
21,-120.323423,38.544277,1910.5,21.00309888888889
22,-120.251563,38.583322,2161.75,22.001171944444444
23,-120.170485,38.631958,2361.0,23.002402222222223
24,-120.112938,38.702925,2385.5,24.003919166666666
25,-120.005022,38.697162,2553.0,25.012036666666667
26,-119.927072,38.793571,2259.75,26.010820277777775
27,-120.01449,38.875028,1930.75,27.000726944444445
28,-119.930817,38.968378,1954.5,28.003046666666666
29,-119.859348,38.96697,1779.25,29.000358055555555
30,-119.821761,39.053501,1505.5,30.000853333333332
31,-119.73328,39.181156,1422.5,31.00392916666667
32,-119.610499,39.22227,1356.0,32.009818333333335
33,-119.483893,39.321468,1336.5,33.0005775
34,-119.315059,39.383753,1360.5,34.00672888888889
35,-119.11531,39.437711,1283.0,35.003640555555556
36,-118.9395,39.503887,1230.25,36.00171111111111
37,-118.762848,39.460473,1210.75,37.015793333333335
38,-118.554392,39.361196,1199.75,38.080196944444445
39,-118.391275,39.266144,1279.75,39.00241888888889
40,-118.197085,39.284617,1346.75,40.026834722222226
41,-118.023209,39.290727,1406.75,41.02155666666666
42,-117.865872,39.297374,1598.5,42.01579916666667
43,-117.786059,39.240509,1880.75,43.015234444444445
44,-117.736708,39.262504,2221.75,44.005679444444446
45,-117.500934,39.255986,1875.25,45.01524916666666
46,-117.345658,39.375359,1839.75,46.00740944444444
47,-117.129748,39.493247,1783.25,47.020624444444444
48,-117.059179,39.488282,2087.25,48.00041416666667
49,-116.997353,39.457615,2199.0,49.000102500000004
50,-116.774562,39.41006,1853.0,50.00987222222223
51,-116.592475,39.482259,1921.5,51.09328027777778
52,-116.372736,39.520989,1869.0,52.00452166666666
53,-116.138785,39.581709,1845.75,53.00481888888889
54,-115.969826,39.533444,1959.5,54.00034027777778
55,-115.934936,39.451701,2250.5,55.018704166666666
56,-115.730499,39.392372,1893.75,56.04326805555556
57,-115.540542,39.396724,2000.5,57.08730222222222
58,-115.473979,39.398361,2253.25,58.00325222222222
59,-115.22254,39.414065,1965.0,59.07131305555556
60,-115.110232,39.429207,2220.25,60.01233361111112
61,-114.965823,39.289056,2052.75,61.001437499999994
62,-114.820766,39.171246,1999.75,62.043576944444446
63,-114.718463,39.04287,2111.5,63.00639527777778
64,-114.602762,39.033796,2096.75,64.00071083333333
65,-114.413504,39.151354,1773.75,65.00032805555556
66,-114.350146,39.157264,2088.0,66.00427222222223
67,-114.128699,39.019226,1629.25,67.0047725
68,-114.0043,38.876005,1642.0,68.00356611111111
69,-113.928896,38.724528,1743.0,69.00487555555556
70,-113.826037,38.596184,1780.25,70.00048277777778
71,-113.614424,38.507365,1709.5,71.04627333333333
72,-113.494129,38.498791,1689.75,72.00132527777778
73,-113.312987,38.4388,1706.0,73.04343972222222
74,-113.225093,38.457153,1904.0,74.0027288888889
75,-112.991277,38.338696,1530.0,75.00383833333333
76,-112.931678,38.207109,1615.5,76.00201277777778
77,-112.948341,38.111441,1860.5,77.00242694444445
78,-113.022882,37.939503,1735.75,78.01746277777777
79,-113.055279,37.754696,1682.25,79.00398777777778
80,-113.050407,37.67561,1806.5,80.00461416666666
81,-112.956385,37.642144,2103.0,81.00978666666667
82,-112.935996,37.603097,2431.0,82.00358027777779
